model,data,get_top,roc,ap
IFSKNN,musk,0.01,0.9603,0.7624
IFSKNN,musk,0.02,0.9797,0.8738
IFSKNN,musk,0.03,0.9976,0.9592
IFSKNN,musk,0.04,0.9995,0.9833
IFSKNN,musk,0.05,0.9999,0.997
IFSKNN,musk,0.060000000000000005,0.9999,0.9981
IFSKNN,musk,0.06999999999999999,0.9999,0.9981
IFSKNN,musk,0.08,1.0,0.9988
IFSKNN,musk,0.09,1.0,0.9991
IFSKNN,musk,0.09999999999999999,1.0,0.9991
IFSKNN,musk,0.11,1.0,0.9993
IFSKNN,musk,0.12,1.0,0.9993
IFSKNN,musk,0.13,1.0,0.9993
IFSKNN,musk,0.14,1.0,0.9997
IFSKNN,musk,0.15000000000000002,1.0,1.0
IFSKNN,musk,0.16,1.0,1.0
IFSKNN,musk,0.17,1.0,1.0
IFSKNN,musk,0.18000000000000002,1.0,1.0
IFSKNN,musk,0.19,1.0,1.0
IFSKNN,musk,0.2,1.0,1.0
IFSKNN,musk,0.21000000000000002,1.0,1.0
IFSKNN,musk,0.22,1.0,1.0
IFSKNN,musk,0.23,1.0,1.0
IFSKNN,musk,0.24000000000000002,1.0,1.0
IFSKNN,musk,0.25,1.0,1.0
IFSKNN,musk,0.26,1.0,1.0
IFSKNN,musk,0.27,1.0,1.0
IFSKNN,musk,0.28,1.0,1.0
IFSKNN,musk,0.29000000000000004,1.0,1.0
IFSKNN,musk,0.3,1.0,1.0
IFSKNN,musk,0.31,1.0,1.0
IFSKNN,musk,0.32,1.0,1.0
IFSKNN,musk,0.33,1.0,1.0
IFSKNN,musk,0.34,1.0,1.0
IFSKNN,musk,0.35000000000000003,1.0,1.0
IFSKNN,musk,0.36000000000000004,1.0,1.0
IFSKNN,musk,0.37,1.0,1.0
IFSKNN,musk,0.38,1.0,1.0
IFSKNN,musk,0.39,1.0,1.0
IFSKNN,musk,0.4,1.0,1.0
IFSKNN,musk,0.41000000000000003,1.0,1.0
IFSKNN,musk,0.42000000000000004,1.0,1.0
IFSKNN,musk,0.43,1.0,1.0
IFSKNN,musk,0.44,1.0,1.0
IFSKNN,musk,0.45,1.0,1.0
IFSKNN,musk,0.46,1.0,1.0
IFSKNN,musk,0.47000000000000003,1.0,1.0
IFSKNN,musk,0.48000000000000004,1.0,1.0
IFSKNN,musk,0.49,1.0,1.0
IFSKNN,musk,0.5,1.0,1.0
IFSKNN,musk,0.51,1.0,1.0
IFSKNN,musk,0.52,1.0,1.0
IFSKNN,musk,0.53,1.0,1.0
IFSKNN,musk,0.54,1.0,1.0
IFSKNN,musk,0.55,1.0,1.0
IFSKNN,musk,0.56,1.0,1.0
IFSKNN,musk,0.5700000000000001,1.0,1.0
IFSKNN,musk,0.5800000000000001,1.0,1.0
IFSKNN,musk,0.59,1.0,1.0
IFSKNN,musk,0.6,1.0,1.0
IFSKNN,musk,0.61,1.0,1.0
IFSKNN,musk,0.62,1.0,1.0
IFSKNN,musk,0.63,1.0,1.0
IFSKNN,musk,0.64,1.0,1.0
IFSKNN,musk,0.65,1.0,1.0
IFSKNN,musk,0.66,1.0,1.0
IFSKNN,musk,0.67,1.0,1.0
IFSKNN,musk,0.68,1.0,1.0
IFSKNN,musk,0.6900000000000001,1.0,1.0
IFSKNN,musk,0.7000000000000001,1.0,1.0
IFSKNN,musk,0.7100000000000001,1.0,1.0
IFSKNN,musk,0.72,1.0,1.0
IFSKNN,musk,0.73,1.0,1.0
IFSKNN,musk,0.74,1.0,1.0
IFSKNN,musk,0.75,1.0,1.0
IFSKNN,musk,0.76,1.0,1.0
IFSKNN,musk,0.77,1.0,1.0
IFSKNN,musk,0.78,1.0,1.0
IFSKNN,musk,0.79,1.0,1.0
IFSKNN,musk,0.8,1.0,1.0
IFSKNN,musk,0.81,1.0,1.0
IFSKNN,musk,0.8200000000000001,1.0,1.0
IFSKNN,musk,0.8300000000000001,1.0,1.0
IFSKNN,musk,0.8400000000000001,1.0,1.0
IFSKNN,musk,0.85,1.0,1.0
IFSKNN,musk,0.86,1.0,1.0
IFSKNN,musk,0.87,1.0,1.0
IFSKNN,musk,0.88,1.0,1.0
IFSKNN,musk,0.89,1.0,1.0
IFSKNN,musk,0.9,1.0,1.0
IFSKNN,musk,0.91,1.0,1.0
IFSKNN,musk,0.92,1.0,1.0
IFSKNN,musk,0.93,1.0,1.0
IFSKNN,musk,0.9400000000000001,1.0,1.0
IFSKNN,musk,0.9500000000000001,1.0,1.0
IFSKNN,musk,0.9600000000000001,1.0,1.0
IFSKNN,musk,0.97,1.0,0.9992
IFSKNN,musk,0.98,0.8564,0.5945
IFSKNN,musk,0.99,0.7349,0.4025
IFSKNN,musk,1.0,0.672,0.2577
IFSKNN,pendigits,0.01,0.9373,0.2255
IFSKNN,pendigits,0.02,0.948,0.2728
IFSKNN,pendigits,0.03,0.9577,0.3118
IFSKNN,pendigits,0.04,0.9646,0.3354
